16.14 14.99 0.9034 5.658 3.562 1.355 5.175 1
14.69 14.49 0.8799 5.563 3.259 3.586 5.219 -1
16.44 15.25 0.888 5.884 3.505 1.969 5.533 1
13.78 14.06 0.8759 5.479 3.156 3.136 4.872 -1
13.74 14.05 0.8744 5.482 3.114 2.932 4.825 1
12.72 13.57 0.8686 5.226 3.049 4.102 4.914 1
14.16 14.4 0.8584 5.658 3.129 3.072 5.176 -1
15.01 14.76 0.8657 5.789 3.245 1.791 5.001 1
12.74 13.67 0.8564 5.395 2.956 2.504 4.869 -1
13.45 14.02 0.8604 5.516 3.065 3.531 5.097 1
15.05 14.68 0.8779 5.712 3.328 2.129 5.36 1
14.28 14.17 0.8944 5.397 3.298 6.685 5.001 1
13.5 13.85 0.8852 5.351 3.158 2.249 5.176 -1
15.11 14.54 0.8986 5.579 3.462 3.128 5.18 1
14.79 14.52 0.8819 5.545 3.291 2.704 5.111 -1
14.86 14.67 0.8676 5.678 3.258 2.129 5.351 1
14.52 14.6 0.8557 5.741 3.113 1.481 5.487 1
15.03 14.77 0.8658 5.702 3.212 1.933 5.439 -1
12.11 13.47 0.8392 5.159 3.032 1.502 4.519 1
12.36 13.19 0.8923 5.076 3.042 3.22 4.605 -1
12.78 13.57 0.8716 5.262 3.026 1.176 4.782 1
12.73 13.75 0.8458 5.412 2.882 3.533 5.067 1
16.82 15.51 0.8786 6.017 3.486 4.004 5.841 1
17.32 15.91 0.8599 6.064 3.403 3.824 5.922 -1
17.12 15.55 0.8892 5.85 3.566 2.858 5.746 1
19.57 16.74 0.8779 6.384 3.772 1.472 6.273 -1
19.51 16.71 0.878 6.366 3.801 2.962 6.185 1
20.88 17.05 0.9031 6.45 4.032 5.016 6.321 1
20.1 16.99 0.8746 6.581 3.785 1.955 6.449 -1
18.36 16.52 0.8452 6.666 3.485 4.933 6.448 1
18.98 16.57 0.8687 6.449 3.552 2.144 6.453 -1
18.72 16.34 0.881 6.219 3.684 2.188 6.097 1
18.95 16.42 0.8829 6.248 3.755 3.368 6.148 1
18.55 16.22 0.8865 6.153 3.674 1.738 5.894 1
19.38 16.72 0.8716 6.303 3.791 3.678 5.965 -1
20.97 17.25 0.8859 6.563 3.991 4.677 6.316 1
18.89 16.23 0.9008 6.227 3.769 3.639 5.966 -1
20.03 16.9 0.8811 6.493 3.857 3.063 6.32 1
15.99 14.89 0.9064 5.363 3.582 3.336 5.144 1
18.75 16.18 0.8999 6.111 3.869 4.188 5.992 -1
17.55 15.66 0.8991 5.791 3.69 5.366 5.661 1
15.38 14.9 0.8706 5.884 3.268 4.462 5.795 -1
15.56 14.89 0.8823 5.776 3.408 4.972 5.847 1
16.23 15.18 0.885 5.872 3.472 3.769 5.922 1
11.82 13.4 0.8274 5.314 2.777 4.471 5.178 1
11.43 13.13 0.8335 5.176 2.719 2.221 5.132 -1
10.79 12.93 0.8107 5.317 2.648 5.462 5.194 1
11.18 13.04 0.8266 5.22 2.693 3.332 5.001 -1
11.36 13.05 0.8382 5.175 2.755 4.048 5.263 1
11.49 13.22 0.8263 5.304 2.695 5.388 5.31 1
12.54 13.67 0.8425 5.451 2.879 3.082 5.491 -1
11.14 12.79 0.8558 5.011 2.794 6.388 5.049 1
12.15 13.45 0.8443 5.417 2.837 3.638 5.338 -1
11.24 13 0.8359 5.09 2.715 3.521 5.088 1
10.83 12.96 0.8099 5.278 2.641 5.182 5.185 1
12.21 13.47 0.8453 5.357 2.893 1.661 5.178 1
12.46 13.41 0.8706 5.236 3.017 4.987 5.147 -1
12.89 13.77 0.8541 5.495 3.026 6.185 5.316 1
11.23 12.82 0.8594 5.089 2.821 7.524 4.957 -1
10.59 12.41 0.8648 4.899 2.787 4.975 4.794 1
12.11 13.27 0.8639 5.236 2.975 4.132 5.012 1
12.8 13.47 0.886 5.16 3.126 4.873 4.914 -1
12.76 13.38 0.8964 5.073 3.155 2.828 4.83 1
11.18 12.72 0.868 5.009 2.81 4.051 4.828 -1
12.37 13.47 0.8567 5.204 2.96 3.919 5.001 1
12.3 13.34 0.8684 5.243 2.974 5.637 5.063 1
