0.6289567839292338 0.32346951478531516  1
0.4394528077596546 0.5478674292772121  1
0.512200437106122 0.500864646508404  -1
0.2995329322777752 0.6230627270405613  1
0.5207238207675212 0.32542733595644696  1
0.39882121731993425 0.44917757772100975  -1
0.3875139053807079 0.5835776682759641  1
0.46558804569679024 0.3808260349477101  1
0.3668006741594324 0.7098112476478706  -1
0.38272263131699585 0.452737367638514  1
0.4364283715014795 0.692301105545165  1
0.6752421809738202 0.5665200576628142  -1
0.6455623948444207 0.4575869722287391  1
0.5434853498540486 0.5575180098090339  1
0.323144615700802 0.5142624100259803  1
0.41003838698089295 0.5099887518902678  1
0.5556571320867622 0.5715022879444677  1
0.5707049148610202 0.33224836461163654  -1
0.309970327833062 0.45265291703067895  1
0.440146903930251 0.495593601024648  1
0.44347199035029516 0.4622535936838886  -1
0.4720555872309712 0.7165683667235623  1
0.38319743027975633 0.2762100009308178  1
0.31976325998106114 0.6241915643427768  -1
0.47710199684411575 0.40228069309626585  1
0.49827763183980106 0.5382010339612469  1
0.5477306196567974 0.668460274663  -1
0.39153963750374315 0.5776294199926051  1
0.6720370220970937 0.4040964379295322  1
0.42722756534718975 0.6185064737597324  1
0.4101348255428155 0.49464707734714325  1
0.49606383258716635 0.3290899150196019  1
0.6781048209663016 0.33292748108390435  -1
0.2758683060347048 0.42493086482223386  1
0.3252727704249059 0.518663878690165  1
0.6360506427122014 0.452177164199903  -1
0.6977418201849414 0.5002854794895334  1
0.5765913115106007 0.6073630568836432  1
0.509538178207134 0.6931777163283148  -1
0.44864558562432355 0.6811903182476917  1
0.5915644139504792 0.3850652622739119  1
0.626036706904056 0.4330240031551585  -1
0.4776430480397612 0.717473875201391  1
0.650228341055716 0.5706997864367978  1
0.5106216733301224 0.41911915802469024  1
0.518605160378907 0.37252647303440034  1
0.6615332034083491 0.5495324580384817  1
0.46567523869648914 0.5669969664558905  -1
0.44937310198209257 0.4881941150533161  1
0.4927077492482129 0.38147483787457936  1
0.6149777466040518 0.4894293635413928  -1
0.3253529896251357 0.3504070739523616  1
0.49211704225348335 0.2633016877556674  1
0.44149533809771346 0.2739239915645413  -1
0.6467627630109937 0.689444722536442  1
0.5684222384796382 0.32004613720261177  1
0.46275715986772836 0.5465254622670109  -1
0.7311613067298663 0.47433638523777666  1
0.6028701592288027 0.6008484200713187  1
0.6522206886764839 0.6617862064183648  1
0.6173535815217863 0.5281875766332944  1
0.37284220557890724 0.4718757302380132  1
0.41194253633769695 0.4918369529267401  -1
0.5729702930852463 0.728394506497188  1
0.4355175323467955 0.5279784453659533  1
0.5068255999089359 0.5010647442959388  -1
0.5233871269725687 0.341093611151546  1
0.27728901699058806 0.48203144582259505  1
0.46731998488268855 0.57399981287557  -1
0.4165562579890373 0.5855165706078677  1
0.746576954842598 0.4852447791533015  1
0.6025872583526563 0.6519178863077449  -1
0.4515006741729511 0.5494168152052004  1
0.7517526656172895 0.4980941672696096  1
0.32268111908104147 0.46658768216650875  1
0.5138729896078243 0.29507230737868534  1
0.3455796836575118 0.451227266339269  1
0.6507143465614921 0.63649523744681  -1
0.5221079576856864 0.38781976501469645  1
0.2616646827795952 0.6704418747075763  1
0.3064904159455227 0.6902919556360958  -1
0.20771837372789004 0.7507873026800568  1
0.26075720217685444 0.718573999028452  1
0.28035680692780035 0.7161289758113678  -1
0.1879572805347128 0.7862968000937579  1
0.27527637261962035 0.7853181287824482  1
0.2514615416001959 0.7983455398050048  -1
0.2292728118427541 0.7370013770311333  1
0.26055383370285917 0.7235272860746765  1
0.2170246393794728 0.7368279607345486  1
0.21034555806799418 0.6874932243575869  1
0.18152151643851627 0.7095338322497738  1
0.2512776247287444 0.7438694999329588  -1
0.18351795509367025 0.7981412970500236  1
0.23055874576730068 0.6949130653293023  1
0.2866910854803799 0.7614094808432198  -1
0.3220857054082107 0.7600928123854157  1
0.18960171748102256 0.6820443275786829  1
0.21711019410354682 0.7293907077000309  -1
0.25254817011715774 0.7898072848574761  1
0.24213541161565805 0.820011553112265  1
0.3040010147972316 0.8009067304298891  -1
0.2579580823160971 0.7189356681450992  1
0.2178829081972778 0.7403140181632161  1
0.30021772312881323 0.743089979045272  1
0.1809722095110372 0.7812986916049908  1
0.7808853187516883 0.6592734947925624  1
0.8311746997903773 0.7262206255047086  -1
0.7569000845699596 0.7952538516155098  1
0.770220159307569 0.749528422333163  1
0.7534022960618623 0.7993679677299006  -1
0.7052152644415275 0.6768256571756351  1
0.8237151064798245 0.6794732313853846  1
0.7258691046078412 0.6646061045396762  -1
0.7448782161551408 0.7394726189785576  1
0.7961459853569384 0.8393688643424051  1
0.7275372076425105 0.6983388762514319  -1
0.7728812723027745 0.7447321392738567  1
0.7056224589841433 0.774470827074884  1
0.8199224586670886 0.6624864411844861  1
0.8399763413838327 0.7397512128037355  1
0.761046704494208 0.7666157837279917  1
0.7446390882313307 0.7705456687619933  -1
0.7447471630813102 0.812900186453634  1
0.7568136057549706 0.7515402362252771  1
0.70971508636843 0.7124438097520422  -1
0.6852754907203354 0.7810821546243205  1
0.735357614154059 0.8135219075858261  1
0.6927327403170797 0.6700023743441031  -1
0.762326391564511 0.8024849472990617  1
0.6446792306915289 0.7639770872738367  1
0.7394233664811464 0.7860259050967145  -1
0.749466614165472 0.7328131832071315  1
0.708266829777928 0.7612342280212532  1
0.17474033164278335 0.3636861115238198  1
0.42732547274373656 0.8337665738193867  1
