5.97 1.94 4.17 3.30 2.61 4.90 3.90 2.64 2.97 2.28 4.39 5.49 7.18
2.76 1.28 6.10 6.13 1.52 5.45 4.11 5.66 1.99 1.38 3.66 7.03 0.76
5.95 2.43 7.06 3.20 3.48 6.97 6.10 3.40 3.94 4.03 4.80 5.75 7.08
6.66 1.96 5.88 5.10 5.00 6.83 5.15 1.32 6.44 4.24 4.07 6.45 6.01
6.13 3.60 5.29 4.85 2.07 1.45 0.34 4.53 0.73 3.69 1.79 4.40 3.58
6.84 2.11 7.17 3.40 4.57 6.45 5.42 3.21 3.31 5.14 6.50 5.90 7.36
4.45 2.00 4.92 6.13 1.52 1.38 3.00 6.60 3.85 1.72 3.25 4.21 1.50
7.21 2.29 7.06 3.35 4.89 6.97 5.17 4.91 4.01 4.28 5.28 6.08 7.82
6.97 2.15 5.35 3.40 3.70 4.97 4.96 5.47 4.92 2.18 6.10 5.86 5.08
7.00 4.98 6.31 4.85 4.02 2.93 0.46 6.98 1.23 3.92 3.90 2.01 2.87
7.24 3.99 5.03 5.88 2.17 1.28 0.72 5.28 1.96 7.08 1.79 1.50 2.40
2.21 7.06 5.51 5.36 1.30 6.48 5.68 1.51 7.89 1.30 2.20 8.68 0.73
3.32 1.32 3.32 2.78 1.63 5.41 4.56 3.02 4.29 1.38 6.10 5.38 1.07
6.37 5.85 6.63 6.39 4.46 2.48 1.22 5.66 3.31 8.02 3.01 1.06 2.97
3.42 0.71 4.92 2.78 3.37 3.69 1.58 9.43 0.00 1.70 6.26 1.47 2.87
4.13 3.40 4.49 4.07 2.61 2.21 0.68 9.43 1.67 4.97 2.03 1.14 2.97
3.42 0.49 3.16 2.16 7.17 3.17 3.19 4.15 7.41 1.81 4.72 3.81 3.37
5.08 5.36 5.29 4.07 3.91 1.41 0.76 5.09 1.67 3.41 1.63 1.76 2.83
7.45 1.21 4.87 2.78 3.04 6.90 5.93 1.70 4.54 5.07 4.31 8.35 5.47
6.45 1.84 6.84 6.13 2.07 5.59 1.60 7.36 5.93 8.93 0.73 1.87 2.44
3.53 0.77 4.28 4.33 1.85 8.69 5.82 1.13 4.61 2.70 6.02 5.86 1.01
8.79 2.39 6.10 3.20 4.67 9.90 6.65 2.08 5.58 5.56 3.09 7.99 8.57
2.55 1.52 5.67 5.88 1.74 1.62 1.92 6.98 3.85 1.98 4.63 5.05 1.23
7.11 1.50 7.17 6.13 3.37 6.97 6.14 3.02 6.21 3.77 5.77 5.27 7.18
8.13 1.46 5.13 3.20 2.72 4.21 4.41 2.45 3.66 3.17 5.61 5.68 7.15
5.92 1.78 7.91 2.53 4.35 5.59 4.94 3.96 3.00 2.83 4.96 5.53 4.29
5.71 2.06 4.17 0.31 3.26 5.76 5.11 2.45 2.74 2.65 4.63 7.80 5.51
5.82 3.66 8.07 5.36 5.22 6.28 4.96 4.91 4.45 2.59 4.55 6.08 3.26
7.39 6.68 5.45 4.59 2.07 2.83 1.03 6.60 3.63 6.60 0.73 1.36 1.44
1.55 2.47 4.92 3.81 3.04 7.03 4.05 0.75 2.97 1.68 5.53 6.19 0.48
4.37 1.56 4.81 5.21 1.09 1.38 2.36 8.49 3.82 1.51 3.90 2.89 1.55
3.68 1.56 4.97 5.62 1.74 6.07 5.93 4.91 4.29 2.27 1.71 5.75 0.53
6.45 2.11 5.61 5.10 3.26 5.93 5.57 2.45 4.57 3.26 4.55 8.06 4.58
3.79 1.54 4.49 4.33 10.00 5.24 4.07 3.58 9.05 1.13 5.53 4.98 4.70
7.45 1.52 7.01 7.42 1.74 6.79 5.32 1.51 4.61 1.79 7.15 6.92 0.94
2.55 5.32 3.42 4.33 1.85 3.52 2.74 4.53 4.61 0.00 3.66 6.52 2.04
6.53 2.09 6.90 4.33 4.35 4.72 4.62 3.02 3.56 2.49 5.04 5.86 5.83
4.45 2.11 4.49 4.23 1.74 4.21 4.62 2.45 4.29 2.24 5.53 6.85 3.11
8.34 2.02 5.83 2.37 4.57 7.90 6.43 3.96 4.92 4.67 4.63 5.79 8.36
6.26 6.13 4.06 4.23 2.17 5.07 4.94 2.64 3.38 2.56 3.50 6.34 5.40
3.11 0.89 2.09 3.20 8.80 3.00 1.98 0.19 6.59 1.34 6.50 6.59 3.14
5.82 6.40 4.97 3.56 3.59 5.72 4.83 3.58 3.94 2.63 2.76 6.34 2.87
3.32 4.80 4.55 3.81 1.96 6.45 5.59 6.04 7.57 0.87 7.64 5.71 0.91
6.24 6.26 5.99 6.39 3.48 2.83 0.86 5.66 3.15 5.14 1.79 1.06 3.37
6.55 4.80 7.27 6.65 2.93 1.97 0.38 6.98 0.44 2.62 3.33 2.89 1.73
4.24 1.23 3.53 3.20 3.26 3.59 2.26 7.55 0.66 3.81 4.07 1.17 1.23
7.05 9.70 5.83 5.10 2.72 2.41 0.57 7.36 2.05 5.48 1.30 1.72 3.30
5.32 10.00 4.12 5.62 1.74 5.66 4.87 3.21 5.05 1.13 2.03 6.70 0.73
3.32 1.72 4.55 5.05 3.59 0.41 1.43 4.53 3.31 1.51 3.46 2.01 4.22
7.08 1.36 6.10 3.14 4.13 8.34 7.03 1.13 5.14 4.71 3.33 5.86 7.18
1.61 2.61 5.88 5.67 1.52 3.34 2.85 6.60 2.97 1.30 4.23 5.42 2.87
2.08 1.44 3.37 5.26 1.74 3.45 2.66 3.21 3.53 0.57 3.82 7.55 1.55
6.66 1.92 5.08 2.89 5.11 7.48 6.22 3.96 6.09 4.14 3.82 7.73 3.69
7.97 1.76 4.92 2.78 6.09 6.97 5.97 2.08 5.33 3.73 4.96 8.94 3.58
5.32 2.59 9.95 7.42 5.87 5.69 4.94 6.42 4.76 1.96 5.28 7.07 3.94
3.95 9.43 6.84 7.42 2.83 2.79 0.55 9.43 2.18 3.17 2.76 1.54 1.69
2.76 2.65 1.82 3.56 2.93 4.31 3.86 2.45 3.12 1.72 6.42 6.19 3.08
2.97 1.72 5.08 6.29 2.17 2.76 2.85 5.66 3.63 1.00 6.91 3.63 1.55
2.76 2.15 5.13 4.07 1.20 2.14 2.45 7.36 3.88 0.96 4.88 3.66 1.44
7.55 1.86 4.06 2.78 3.37 7.31 6.43 1.51 5.46 4.11 3.50 7.55 5.04
2.74 2.81 4.33 5.36 1.63 5.59 4.87 4.53 2.97 1.26 3.09 7.36 0.71
7.87 1.86 4.55 2.78 2.83 5.76 4.20 2.45 4.95 2.92 4.55 8.50 5.40
7.47 2.29 7.70 4.54 4.02 6.79 5.55 4.53 4.26 2.75 6.26 7.80 4.54
2.45 0.69 5.03 5.36 3.37 8.28 3.80 0.00 3.91 1.65 4.15 6.81 4.34
8.32 1.68 5.99 3.04 4.13 8.00 7.57 3.58 4.57 6.33 6.10 5.68 10.00
5.47 0.53 1.82 2.27 0.87 6.90 5.99 2.45 5.90 3.43 5.20 7.00 1.60
8.61 2.33 7.27 4.85 5.43 6.28 5.91 3.77 4.92 4.20 4.80 5.05 7.15
4.87 4.45 5.56 4.85 3.70 1.10 1.86 2.08 1.32 3.52 2.11 0.55 1.80
5.39 6.25 5.35 5.62 4.67 1.48 2.22 3.96 2.30 6.93 0.73 0.22 1.94
6.08 0.40 5.35 3.30 4.35 5.34 2.03 7.92 0.03 1.61 4.39 2.42 3.37
8.16 6.64 7.38 7.16 2.83 3.69 0.89 8.11 2.97 6.76 1.06 1.21 2.01
4.82 1.21 5.13 3.81 5.65 1.83 1.92 1.51 1.67 2.41 2.28 0.07 2.51
1.53 1.21 7.17 4.85 2.61 6.07 5.44 3.02 6.56 1.17 3.90 7.29 2.87
3.74 4.53 6.84 8.45 2.93 3.17 0.51 9.43 2.30 5.31 1.54 1.68 4.29
3.89 0.99 4.76 3.56 1.63 3.52 0.51 8.87 2.65 3.56 2.20 0.88 2.65
3.00 1.40 6.26 4.33 3.70 3.14 2.97 6.04 1.96 1.42 7.89 3.52 0.55
3.08 4.53 5.13 4.33 2.83 0.93 0.32 5.09 1.01 3.60 1.46 2.05 1.65
3.21 7.87 6.31 5.36 2.07 1.38 0.27 7.55 1.23 2.19 2.20 0.00 3.15
4.13 1.19 2.89 4.07 1.96 1.62 2.15 3.02 2.97 1.00 4.55 5.49 2.03
6.24 7.63 8.02 7.42 4.57 3.45 1.31 2.64 2.21 6.16 1.54 2.38 2.51
5.32 1.80 6.36 3.81 3.04 5.07 4.41 3.02 3.25 2.53 5.20 4.54 5.90
7.11 7.15 4.81 6.13 1.96 1.03 0.27 7.36 2.33 4.56 2.44 1.76 1.73
3.53 1.76 5.03 7.16 1.96 4.28 4.45 5.09 4.70 0.72 3.33 5.53 0.46
3.89 1.96 3.32 5.10 1.63 4.21 3.33 3.58 3.38 1.42 4.55 8.42 2.81
3.53 0.40 0.00 0.00 1.96 3.45 0.49 2.83 0.03 0.57 4.63 2.01 1.73
3.32 4.13 4.60 3.81 1.96 5.07 4.03 2.26 4.98 0.74 5.45 7.44 0.09
5.47 2.29 7.43 7.68 5.00 4.21 1.98 2.45 3.63 4.97 1.06 0.22 1.05
4.76 4.39 6.68 6.91 3.37 4.62 0.55 7.55 1.26 3.11 3.33 3.22 2.23
8.37 6.52 5.78 4.28 4.46 6.45 4.87 3.21 2.65 3.38 3.17 7.55 5.72
8.39 6.42 6.15 1.34 6.30 6.97 5.70 1.32 5.27 3.26 3.33 8.28 3.44
6.50 2.11 6.68 4.85 2.83 5.34 4.79 2.83 3.94 1.91 5.20 9.34 4.04
4.32 0.47 4.71 3.81 3.15 4.21 3.38 3.21 3.31 1.14 6.10 6.92 1.23
1.63 1.84 6.74 7.94 1.96 3.24 2.68 5.09 2.93 1.13 7.15 7.11 2.03
5.00 6.05 6.90 4.12 3.48 4.93 4.37 2.26 4.95 2.75 4.47 8.24 3.51
6.71 1.82 5.35 4.38 3.91 6.48 6.01 1.70 4.86 4.80 4.96 5.90 8.82
3.66 3.58 4.87 5.88 2.17 2.41 3.16 10.00 3.19 1.21 3.09 7.44 0.26
3.92 3.34 4.33 5.36 1.96 5.41 4.07 2.45 2.56 0.61 3.41 5.53 0.34
8.71 1.86 7.17 7.42 3.04 6.28 2.05 7.55 7.22 10.00 0.73 2.53 2.72
1.13 5.93 2.46 4.59 4.02 7.59 4.73 2.08 10.00 1.38 2.20 5.64 2.03
6.95 1.01 2.99 3.81 2.61 3.86 3.06 3.58 1.01 2.15 6.10 4.36 2.51
4.63 3.81 5.99 5.88 4.57 1.72 2.15 2.08 2.68 8.12 0.00 0.73 1.44
8.84 2.23 5.83 2.06 2.83 5.24 4.60 3.21 4.95 3.39 4.39 8.46 7.22
4.84 7.65 5.99 5.62 1.74 2.48 0.65 6.42 1.42 5.44 0.49 2.16 2.48
7.37 1.64 6.74 4.85 4.89 6.79 6.46 5.09 4.13 4.54 5.28 4.76 6.08
3.13 1.09 3.10 4.33 2.39 4.76 3.59 4.91 5.27 1.21 3.09 6.41 0.24
2.08 1.94 2.78 4.59 1.74 5.24 2.74 4.53 3.19 0.67 3.74 4.29 0.98
6.50 4.70 6.74 6.91 5.76 1.45 2.59 1.70 2.65 6.25 0.89 0.11 1.58
2.55 0.36 3.42 4.33 1.74 4.97 4.05 3.21 3.22 1.04 7.32 6.78 0.00
5.32 2.04 3.96 3.30 4.02 6.97 5.61 2.83 5.11 3.21 3.25 7.62 4.33
2.66 7.04 5.45 5.88 1.09 3.86 2.97 5.47 2.97 1.13 2.52 4.76 2.15
3.45 3.38 5.88 5.36 3.04 5.45 3.73 3.96 2.84 1.30 2.60 7.73 1.14
5.32 6.17 5.13 6.13 1.63 2.31 2.64 9.06 3.82 3.00 2.93 2.71 1.69
8.24 3.50 5.99 4.85 2.28 2.41 0.76 5.85 2.62 7.18 1.14 1.61 2.72
7.50 2.27 6.58 2.27 3.37 7.83 6.79 0.75 4.07 3.54 3.25 8.39 5.83
6.47 5.63 4.44 4.59 1.96 2.21 0.30 8.49 1.48 3.77 2.68 2.01 2.15
4.79 1.70 6.20 3.71 2.72 5.17 4.28 2.45 3.31 2.26 4.96 8.64 5.26
8.82 5.63 4.92 2.78 3.48 7.83 5.97 2.64 5.62 3.09 4.55 7.95 5.61
3.66 1.72 4.44 6.13 4.13 3.52 3.69 3.96 3.79 0.67 4.72 6.19 0.48
3.21 1.96 4.06 4.33 1.09 2.31 3.57 4.53 3.85 1.81 4.23 6.96 1.65
