3.53 0.77 4.28 4.33 1.85 8.69 5.82 1.13 4.61 2.70 6.02 5.86 1.01 -1
7.50 8.50 4.65 4.85 1.09 0.00 0.00 5.09 0.85 3.09 0.81 0.22 0.98 1
6.97 2.15 5.35 3.40 3.70 4.97 4.96 5.47 4.92 2.18 6.10 5.86 5.08 -1
8.79 2.39 6.10 3.20 4.67 9.90 6.65 2.08 5.58 5.56 3.09 7.99 8.57 -1
6.37 5.85 6.63 6.39 4.46 2.48 1.22 5.66 3.31 8.02 3.01 1.06 2.97 -1
5.26 0.32 1.87 2.78 1.74 3.34 3.57 2.08 3.31 2.83 5.77 4.43 0.81 1
4.08 1.09 3.96 4.85 3.59 1.72 0.51 7.55 3.12 5.39 0.81 1.03 2.58 1
7.16 1.96 5.61 2.78 2.07 5.59 5.11 3.02 4.42 3.69 5.45 5.97 7.43 1
6.82 8.32 5.29 4.85 2.39 3.52 0.97 6.42 1.92 2.66 3.50 2.86 1.94 1
5.08 5.36 5.29 4.07 3.91 1.41 0.76 5.09 1.67 3.41 1.63 1.76 2.83 -1
7.97 2.79 6.68 3.61 5.54 5.59 4.58 3.40 2.65 3.22 4.72 8.46 7.25 1
5.00 4.09 7.17 5.36 2.83 1.93 0.34 7.55 1.07 2.83 2.36 3.81 2.30 1
7.37 1.80 6.63 3.40 2.61 5.07 5.59 1.70 5.93 3.69 6.18 7.69 7.04 1
8.39 1.90 5.03 2.94 5.22 7.66 5.61 2.45 5.11 4.35 3.74 7.47 4.94 1
2.13 0.30 6.52 3.81 2.61 4.21 3.95 1.70 6.12 1.51 2.52 6.63 1.73 1
7.34 2.00 5.67 1.75 4.46 10.00 7.17 3.58 4.61 4.92 4.31 7.29 6.50 1
8.13 1.46 5.13 3.20 2.72 4.21 4.41 2.45 3.66 3.17 5.61 5.68 7.15 -1
8.82 2.23 5.45 0.72 3.48 8.00 6.96 3.02 8.04 5.31 5.85 6.34 9.05 1
2.76 1.17 5.03 6.70 0.00 4.21 2.64 5.47 3.06 0.39 4.80 7.11 2.48 1
2.21 7.06 5.51 5.36 1.30 6.48 5.68 1.51 7.89 1.30 2.20 8.68 0.73 -1
4.45 2.00 4.92 6.13 1.52 1.38 3.00 6.60 3.85 1.72 3.25 4.21 1.50 -1
5.32 1.96 3.64 0.93 2.39 6.00 6.18 0.75 7.89 5.05 5.20 6.01 6.22 1
3.21 6.21 4.49 4.07 4.57 1.38 0.93 3.02 2.30 5.91 1.38 2.67 4.12 1
9.79 1.96 5.51 0.41 2.28 7.31 7.07 5.66 7.57 3.52 6.26 5.35 6.22 1
2.76 1.28 6.10 6.13 1.52 5.45 4.11 5.66 1.99 1.38 3.66 7.03 0.76 -1
5.37 1.50 3.96 2.53 3.04 4.90 4.85 2.83 3.03 2.06 5.69 5.20 5.29 1
1.11 3.28 5.67 4.85 2.83 6.62 5.17 3.58 4.48 1.68 2.60 7.77 2.48 1
7.18 1.56 7.17 4.59 6.74 6.79 5.06 6.98 2.97 3.52 6.26 6.34 6.83 1
6.13 3.60 5.29 4.85 2.07 1.45 0.34 4.53 0.73 3.69 1.79 4.40 3.58 -1
4.68 3.10 5.56 6.91 3.04 0.59 1.58 2.64 1.32 3.77 1.46 0.33 2.01 1
5.89 7.00 4.81 4.85 5.43 2.10 0.74 5.66 2.97 7.61 0.89 1.06 3.97 1
6.47 1.82 4.71 6.91 1.85 3.10 3.16 2.64 1.96 2.10 4.07 5.53 1.38 1
5.63 8.79 5.13 5.88 2.50 2.62 0.61 9.06 3.60 5.65 0.98 0.77 3.19 1
1.39 2.59 10.00 9.23 5.33 7.59 10.00 6.42 4.61 4.03 3.66 8.86 1.33 1
7.24 3.99 5.03 5.88 2.17 1.28 0.72 5.28 1.96 7.08 1.79 1.50 2.40 -1
2.00 2.75 7.59 9.23 2.39 3.97 4.01 8.49 4.26 1.47 3.98 4.29 1.34 1
6.84 2.11 7.17 3.40 4.57 6.45 5.42 3.21 3.31 5.14 6.50 5.90 7.36 -1
7.11 1.50 7.17 6.13 3.37 6.97 6.14 3.02 6.21 3.77 5.77 5.27 7.18 -1
7.13 1.84 4.76 2.99 5.22 5.59 5.40 1.51 3.82 3.90 3.58 7.07 5.58 1
10.00 1.78 4.33 1.75 2.93 6.28 5.57 3.02 4.95 3.34 4.88 5.79 5.47 1
1.92 3.83 8.34 4.85 3.59 2.66 3.57 8.87 2.02 2.15 6.10 4.51 2.35 1
5.95 2.43 7.06 3.20 3.48 6.97 6.10 3.40 3.94 4.03 4.80 5.75 7.08 -1
7.39 6.68 5.45 4.59 2.07 2.83 1.03 6.60 3.63 6.60 0.73 1.36 1.44 -1
1.66 2.25 2.99 2.78 2.93 2.17 2.59 3.96 2.33 2.15 6.10 3.19 1.07 1
6.71 3.64 7.11 7.16 3.80 1.97 1.05 4.91 3.56 6.30 2.11 1.94 3.37 1
7.21 2.29 7.06 3.35 4.89 6.97 5.17 4.91 4.01 4.28 5.28 6.08 7.82 -1
4.58 5.32 3.32 2.78 1.09 2.24 1.92 5.66 1.32 1.81 1.79 3.11 0.67 1
5.71 2.06 4.17 0.31 3.26 5.76 5.11 2.45 2.74 2.65 4.63 7.80 5.51 -1
3.53 0.85 2.99 4.64 0.87 3.90 3.50 2.64 1.99 2.90 5.20 8.10 1.65 1
7.45 1.21 4.87 2.78 3.04 6.90 5.93 1.70 4.54 5.07 4.31 8.35 5.47 -1
5.16 1.84 6.63 10.00 7.50 8.00 5.38 1.51 4.89 1.77 6.75 8.17 5.04 1
7.66 1.96 4.87 3.51 4.13 6.55 6.75 3.58 5.27 6.50 5.20 6.70 7.00 1
3.32 1.32 3.32 2.78 1.63 5.41 4.56 3.02 4.29 1.38 6.10 5.38 1.07 -1
7.05 2.21 5.35 3.09 3.37 5.62 5.36 2.64 4.04 2.15 5.12 10.00 5.40 1
6.66 1.96 5.88 5.10 5.00 6.83 5.15 1.32 6.44 4.24 4.07 6.45 6.01 -1
3.42 0.49 3.16 2.16 7.17 3.17 3.19 4.15 7.41 1.81 4.72 3.81 3.37 -1
5.79 5.06 4.92 4.07 3.04 2.83 1.03 9.06 4.61 7.88 0.65 0.88 2.83 1
4.13 3.40 4.49 4.07 2.61 2.21 0.68 9.43 1.67 4.97 2.03 1.14 2.97 -1
3.53 0.65 3.96 4.07 1.96 8.76 7.19 2.08 4.86 2.75 4.55 5.49 2.72 1
5.92 1.78 7.91 2.53 4.35 5.59 4.94 3.96 3.00 2.83 4.96 5.53 4.29 -1
4.39 5.55 5.35 5.62 3.91 2.48 1.81 0.75 1.36 3.17 2.44 0.07 2.30 1
2.13 4.25 4.65 3.81 4.57 2.55 2.07 5.66 1.70 1.17 3.90 4.58 1.58 1
5.63 3.66 5.40 4.85 5.43 2.31 0.72 7.55 3.31 6.84 0.98 1.28 4.01 1
2.55 1.52 5.67 5.88 1.74 1.62 1.92 6.98 3.85 1.98 4.63 5.05 1.23 -1
6.21 2.04 6.74 2.84 2.50 6.45 5.49 3.96 3.28 3.00 3.58 7.14 6.54 1
1.00 0.00 6.10 5.36 1.96 5.17 3.52 5.47 3.25 1.54 5.04 3.81 1.11 1
8.42 1.92 5.72 2.58 6.20 6.28 5.74 2.83 5.93 3.72 4.55 9.71 5.61 1
3.50 6.11 5.45 5.36 1.96 4.55 1.22 6.98 1.99 5.44 0.65 1.14 1.73 1
4.71 5.20 5.03 4.59 1.96 1.72 0.68 5.09 1.77 7.66 1.95 1.76 2.90 1
6.87 4.66 6.42 2.37 5.00 5.93 5.68 0.75 3.94 3.26 3.90 7.66 4.04 1
8.08 2.53 5.56 4.23 3.59 6.10 5.44 3.58 6.21 4.20 4.80 5.42 5.58 1
3.42 0.71 4.92 2.78 3.37 3.69 1.58 9.43 0.00 1.70 6.26 1.47 2.87 -1
2.76 0.77 6.15 6.91 0.87 3.52 2.62 5.09 3.12 0.78 6.75 5.31 2.51 1
8.08 2.81 5.03 3.81 3.80 6.79 6.29 1.70 6.21 3.81 6.26 6.96 8.79 1
6.03 4.94 5.45 5.62 2.39 3.28 0.89 6.04 2.65 6.09 0.57 1.28 2.65 1
2.05 2.73 7.38 5.62 6.96 2.14 1.37 0.19 3.63 1.04 3.82 3.63 2.48 1
4.79 5.00 6.52 5.88 3.91 2.31 0.55 8.87 1.74 3.67 3.17 3.08 2.08 1
5.82 3.66 8.07 5.36 5.22 6.28 4.96 4.91 4.45 2.59 4.55 6.08 3.26 -1
4.58 3.26 4.92 4.59 1.74 1.41 0.36 6.60 0.73 7.35 0.73 1.32 1.37 1
6.45 1.84 6.84 6.13 2.07 5.59 1.60 7.36 5.93 8.93 0.73 1.87 2.44 -1
5.61 5.59 4.22 5.36 3.48 1.79 0.44 5.66 2.81 2.32 0.98 1.50 3.94 1
0.00 1.52 4.49 5.62 1.63 5.10 3.86 7.36 5.05 0.53 10.00 5.86 0.92 1
5.61 3.20 7.01 4.12 3.37 6.28 6.12 3.21 7.57 3.75 4.47 6.96 6.47 1
3.66 7.29 7.33 8.20 3.48 4.21 3.78 5.66 4.10 0.68 3.58 6.78 0.62 1
3.53 0.93 6.42 3.87 3.04 4.97 4.87 4.53 5.27 2.83 5.77 3.77 2.85 1
4.39 6.19 5.56 6.39 3.37 6.38 4.66 5.66 4.86 1.10 5.77 6.81 1.32 1
5.97 1.94 4.17 3.30 2.61 4.90 3.90 2.64 2.97 2.28 4.39 5.49 7.18 -1
7.00 4.98 6.31 4.85 4.02 2.93 0.46 6.98 1.23 3.92 3.90 2.01 2.87 -1
