0.49 0.49 0.49 0.49 0.16 -1
0.43 0.42 0.42 0.42 0.11 -1
0.54 0.54 0.54 0.54 0.15 1
0.88 0.90 0.89 0.90 0.45 1
0.79 0.78 0.78 0.78 0.09 -1
0.17 0.17 0.17 0.17 0.49 -1
1.35 1.33 1.33 1.32 0.04 -1
0.62 0.63 0.55 0.58 1.02 1
0.38 0.38 0.38 0.38 0.20 1
0.16 0.17 0.16 0.17 0.11 -1
1.02 1.02 1.01 1.02 0.04 1
0.64 0.64 0.64 0.64 0.03 1
1.23 1.22 1.23 1.22 0.12 -1
0.30 0.30 0.29 0.29 0.18 1
0.18 0.21 0.18 0.21 0.06 -1
0.18 0.18 0.17 0.17 0.53 -1
0.65 0.65 0.65 0.65 0.04 -1
1.68 1.68 1.68 1.67 0.02 1
0.52 0.52 0.52 0.52 0.78 1
0.61 0.60 0.60 0.60 0.04 1
0.83 0.82 0.82 0.81 0.08 1
0.37 0.37 0.37 0.37 0.34 1
0.96 0.99 0.95 0.97 0.27 1
0.93 0.93 0.93 0.93 0.17 1
0.52 0.53 0.52 0.52 0.32 -1
0.50 0.50 0.50 0.50 0.12 1
1.43 1.44 1.44 1.44 0.02 1
0.72 0.72 0.72 0.72 0.39 -1
0.53 0.53 0.53 0.53 0.16 -1
1.03 1.03 1.03 1.03 0.05 -1
0.82 0.83 0.82 0.83 0.22 -1
0.36 0.36 0.37 0.36 0.39 1
0.45 0.44 0.45 0.44 0.39 -1
0.20 0.20 0.20 0.20 0.62 1
0.53 0.55 0.53 0.55 0.21 1
1.18 1.18 1.18 1.18 0.14 -1
1.77 1.81 1.77 1.81 0.13 1
0.61 0.60 0.60 0.60 0.52 1
1.01 1.01 1.01 1.01 0.06 1
0.30 0.29 0.30 0.30 0.03 -1
0.75 0.75 0.75 0.75 0.61 1
0.92 0.92 0.91 0.91 0.10 1
1.26 1.26 1.25 1.26 0.11 1
0.19 0.19 0.19 0.19 0.28 -1
0.21 0.21 0.21 0.21 0.07 1
0.92 0.92 0.92 0.92 0.04 -1
1.75 1.77 1.74 1.77 0.14 -1
0.96 0.95 0.96 0.95 0.13 1
0.56 0.56 0.56 0.56 0.26 1
0.60 0.59 0.60 0.59 0.15 -1
1.24 1.23 1.24 1.23 0.20 -1
0.60 0.59 0.60 0.59 0.05 1
1.46 1.45 1.46 1.45 0.05 1
0.93 0.92 0.93 0.92 0.13 1
0.46 0.46 0.47 0.46 1.16 -1
0.37 0.37 0.37 0.37 0.69 1
1.63 1.62 1.63 1.62 0.28 -1
0.77 0.77 0.77 0.77 0.13 -1
3.14 3.14 3.14 3.13 0.01 1
0.38 0.38 0.38 0.37 2.38 1
0.52 0.52 0.52 0.52 0.10 1
0.37 0.38 0.37 0.37 0.09 1
0.39 0.39 0.39 0.39 0.09 -1
0.00 0.00 0.00 0.00 0.38 1
0.56 0.55 0.56 0.55 0.93 -1
0.53 0.53 0.53 0.53 0.06 1
0.43 0.44 0.43 0.43 0.05 -1
0.47 0.47 0.47 0.47 0.21 1
0.24 0.24 0.24 0.24 0.46 1
1.28 1.27 1.28 1.26 0.10 1
0.48 0.47 0.47 0.47 0.45 1
0.55 0.55 0.55 0.55 0.57 1
0.63 0.62 0.62 0.62 0.32 1
0.30 0.30 0.30 0.30 0.27 1
0.38 0.38 0.38 0.38 0.15 1
0.86 0.86 0.87 0.86 0.26 -1
0.65 0.65 0.65 0.64 0.07 1
2.52 2.52 2.53 2.51 0.09 1
0.63 0.63 0.63 0.62 0.05 1
1.37 1.35 1.37 1.36 0.19 -1
0.83 0.83 0.83 0.83 0.10 1
1.03 1.03 1.03 1.03 0.10 -1
0.49 0.48 0.48 0.48 0.88 1
0.43 0.43 0.43 0.43 0.03 1
0.40 0.40 0.40 0.40 0.14 -1
0.29 0.30 0.29 0.29 0.08 1
0.75 0.74 0.74 0.74 0.09 1
0.79 0.82 0.79 0.79 0.35 1
0.90 0.92 0.91 0.92 0.23 1
0.61 0.61 0.62 0.61 0.12 -1
0.28 0.28 0.28 0.28 0.48 -1
1.51 1.50 1.50 1.49 0.13 -1
0.57 0.57 0.57 0.57 0.12 1
0.47 0.47 0.47 0.47 0.09 -1
0.49 0.49 0.49 0.49 0.53 -1
0.46 0.46 0.45 0.46 0.03 1
0.70 0.70 0.70 0.70 0.02 1
0.14 0.14 0.14 0.14 0.49 1
10.00 10.00 10.00 10.00 0.03 1
0.07 0.07 0.07 0.07 1.05 1
0.58 0.58 0.58 0.58 0.33 1
0.50 0.51 0.51 0.51 0.18 -1
0.18 0.20 0.18 0.19 2.02 1
0.41 0.41 0.40 0.41 0.46 1
0.53 0.53 0.53 0.53 0.82 1
0.85 0.85 0.85 0.85 0.04 1
1.19 1.20 1.20 1.20 0.11 1
0.31 0.31 0.31 0.31 0.16 1
0.74 0.73 0.74 0.73 1.08 1
0.46 0.46 0.46 0.46 0.07 1
0.52 0.52 0.52 0.52 0.04 1
0.60 0.60 0.57 0.57 1.21 1
2.29 2.29 2.30 2.29 0.07 1
0.59 0.59 0.59 0.58 0.09 1
0.54 0.54 0.54 0.54 0.07 1
0.21 0.21 0.21 0.20 0.96 1
0.55 0.54 0.54 0.53 0.26 1
0.46 0.46 0.46 0.46 0.65 -1
2.04 2.03 2.03 2.01 0.03 -1
1.31 1.31 1.31 1.30 0.07 -1
0.56 0.56 0.56 0.56 0.02 1
0.72 0.74 0.72 0.73 0.21 1
0.44 0.44 0.44 0.44 0.18 1
0.55 0.55 0.55 0.55 0.51 -1
0.11 0.11 0.11 0.11 0.26 1
0.18 0.18 0.17 0.17 0.58 -1
1.02 1.02 1.02 1.01 0.13 -1
0.31 0.31 0.31 0.31 0.26 1
1.39 1.37 1.37 1.35 0.05 1
0.16 0.16 0.16 0.16 0.37 -1
0.60 0.60 0.60 0.60 0.05 1
0.25 0.25 0.25 0.25 0.75 1
0.36 0.37 0.36 0.37 0.11 1
0.22 0.22 0.22 0.22 0.08 1
0.20 0.19 0.19 0.19 0.42 1
0.80 0.79 0.80 0.79 1.13 1
0.42 0.43 0.42 0.42 0.31 -1
0.23 0.23 0.20 0.20 0.10 -1
0.83 0.83 0.82 0.83 0.08 1
0.58 0.58 0.58 0.58 0.08 -1
0.36 0.36 0.36 0.36 0.15 -1
1.08 1.08 1.08 1.08 0.05 1
0.50 0.50 0.50 0.50 0.05 1
0.78 0.77 0.78 0.77 0.28 -1
1.32 1.36 1.32 1.34 0.10 1
0.51 0.51 0.51 0.50 0.40 1
0.65 0.64 0.64 0.64 0.09 -1
0.86 0.86 0.86 0.86 0.10 1
0.43 0.44 0.43 0.44 0.16 1
0.48 0.48 0.48 0.48 0.35 1
1.23 1.23 1.23 1.23 0.05 -1
0.28 0.28 0.28 0.28 0.19 -1
0.50 0.50 0.50 0.50 0.08 1
0.64 0.63 0.64 0.63 0.08 -1
0.40 0.40 0.40 0.40 0.30 1
1.75 1.78 1.76 1.77 0.09 -1
0.63 0.63 0.64 0.63 0.08 1
0.85 0.84 0.85 0.84 0.07 -1
0.36 0.36 0.37 0.36 0.71 1
0.72 0.73 0.72 0.73 0.14 -1
0.25 0.25 0.25 0.25 0.17 1
0.36 0.37 0.36 0.36 0.02 -1
1.47 1.47 1.47 1.47 0.07 1
0.68 0.69 0.68 0.69 0.24 1
1.14 1.13 1.14 1.14 0.02 -1
0.54 0.54 0.54 0.53 0.09 -1
0.83 0.82 0.82 0.82 0.07 1
0.61 0.60 0.61 0.60 0.04 -1
1.13 1.13 1.12 1.12 0.03 -1
0.66 0.66 0.66 0.66 0.96 -1
0.88 0.88 0.88 0.88 0.07 1
1.20 1.21 1.20 1.21 0.50 1
0.26 0.26 0.26 0.26 0.14 -1
0.14 0.14 0.14 0.14 0.23 1
0.50 0.50 0.50 0.50 0.24 -1
0.45 0.44 0.44 0.44 0.13 1
0.31 0.31 0.31 0.31 0.14 1
8.18 8.08 7.99 7.96 0.00 1
0.41 0.40 0.41 0.40 0.20 1
0.24 0.24 0.24 0.24 1.95 1
0.61 0.61 0.61 0.61 0.12 1
1.24 1.23 1.24 1.23 0.72 1
0.50 0.50 0.48 0.48 0.38 1
1.00 1.01 1.01 1.01 0.10 1
0.86 0.85 0.86 0.86 0.07 1
0.96 0.96 0.96 0.96 0.55 -1
0.54 0.54 0.54 0.53 0.33 1
0.58 0.58 0.58 0.57 1.10 1
1.07 1.06 1.07 1.05 0.05 1
0.31 0.31 0.31 0.31 0.13 -1
0.54 0.54 0.54 0.54 0.05 1
0.31 0.31 0.31 0.31 0.09 -1
0.68 0.68 0.67 0.68 0.46 1
0.29 0.29 0.29 0.29 1.54 1
1.40 1.40 1.39 1.39 0.01 1
0.92 0.92 0.92 0.92 0.05 1
0.82 0.82 0.82 0.82 0.16 1
1.05 1.04 0.98 0.97 0.00 -1
0.38 0.38 0.38 0.38 0.23 1
2.86 2.85 2.86 2.85 0.18 1
2.32 2.31 2.32 2.31 0.02 1
0.97 0.96 0.97 0.96 0.03 -1
0.66 0.65 0.66 0.65 0.04 1
0.39 0.39 0.39 0.39 0.15 1
0.54 0.54 0.54 0.54 0.07 1
0.99 1.02 0.99 1.01 0.24 1
0.76 0.76 0.76 0.76 0.22 1
0.31 0.31 0.31 0.31 0.22 -1
0.36 0.36 0.36 0.35 0.21 -1
0.44 0.43 0.43 0.43 0.10 1
0.71 0.71 0.71 0.71 0.33 1
0.33 0.33 0.33 0.33 0.06 -1
4.55 4.56 4.56 4.56 0.03 1
0.99 0.98 0.99 0.98 0.06 1
0.54 0.54 0.54 0.54 0.03 1
0.35 0.35 0.35 0.35 0.21 1
0.44 0.43 0.43 0.43 0.12 -1
0.88 0.90 0.88 0.88 0.30 1
0.86 0.85 0.85 0.85 0.08 1
0.53 0.52 0.53 0.52 0.04 1
1.81 1.81 1.81 1.81 0.06 1
1.06 1.06 1.06 1.07 0.12 -1
0.82 0.81 0.82 0.81 0.11 -1
1.68 1.67 1.68 1.67 0.01 1
0.95 0.96 0.95 0.95 0.03 1
3.75 3.76 3.74 3.71 0.25 1
1.29 1.29 1.29 1.29 0.02 1
0.30 0.30 0.30 0.30 0.15 1
0.44 0.44 0.44 0.44 0.05 -1
0.63 0.62 0.62 0.62 0.15 1
1.13 1.13 1.13 1.12 0.04 1
1.15 1.14 1.15 1.14 0.24 -1
0.30 0.31 0.29 0.29 3.57 1
0.22 0.21 0.21 0.21 2.92 1
0.47 0.49 0.47 0.47 0.66 1
0.46 0.46 0.47 0.46 0.06 1
0.97 0.99 0.95 0.94 2.18 -1
0.30 0.30 0.30 0.30 0.05 -1
0.12 0.12 0.12 0.12 0.23 1
1.44 1.44 1.44 1.43 0.12 1
0.40 0.43 0.41 0.42 0.00 1
0.77 0.77 0.76 0.76 0.14 1
0.46 0.46 0.46 0.46 0.03 1
0.92 0.91 0.92 0.92 0.22 -1
0.50 0.49 0.50 0.49 0.03 1
1.18 1.18 1.18 1.17 0.12 1
0.58 0.58 0.58 0.58 0.04 1
0.84 0.83 0.84 0.84 0.11 1
1.05 1.05 1.05 1.05 0.06 -1
0.43 0.43 0.43 0.42 0.26 1
