8.50 5.26 9.32 8.56 6.72 7.80 1
6.37 7.46 8.03 7.63 7.76 7.88 1
3.36 2.46 2.14 2.12 3.43 3.90 1
6.19 5.53 8.89 9.07 7.31 8.14 1
5.84 4.39 6.75 6.86 8.28 7.46 -1
4.78 8.33 8.55 8.64 9.03 7.97 -1
4.87 3.77 6.67 8.47 8.43 8.22 1
3.45 3.25 5.13 4.24 4.63 4.58 -1
3.19 2.19 6.84 5.93 5.37 6.10 1
0.44 0.79 5.73 5.76 0.00 5.25 1
1.95 1.84 3.25 3.14 6.57 4.41 1
3.10 3.51 4.19 5.25 5.37 6.27 -1
2.39 2.98 4.62 4.24 4.25 3.39 1
8.76 9.39 9.40 8.90 8.43 9.32 -1
2.65 1.75 5.30 4.49 6.34 4.24 -1
5.49 5.09 7.69 6.69 8.13 8.47 1
7.88 7.54 9.06 8.90 9.18 8.56 1
1.68 1.32 5.38 4.41 4.25 1.69 -1
8.50 8.25 8.63 7.88 9.33 8.39 -1
8.76 7.81 9.06 8.81 8.58 8.64 1
4.16 3.51 6.32 6.10 3.66 5.68 1
5.40 7.54 7.18 7.97 7.91 5.76 1
1.86 1.67 5.64 3.90 3.66 3.56 -1
9.20 8.60 8.97 8.98 9.33 8.31 1
3.01 3.60 5.47 5.08 5.30 2.63 1
6.37 4.91 8.29 7.37 5.82 6.69 -1
9.65 5.26 9.66 9.75 6.34 6.27 1
8.58 7.46 5.81 5.34 6.12 8.31 1
0.80 0.00 2.22 2.46 3.96 2.29 1
6.81 5.61 8.12 7.37 6.34 7.37 1
3.54 3.42 1.20 1.95 3.96 1.61 1
4.25 7.54 7.95 8.81 8.43 8.81 1
4.69 3.16 6.24 4.75 3.96 6.10 1
8.41 5.88 8.89 9.32 9.25 9.24 1
6.02 6.14 8.89 7.80 8.96 8.90 -1
8.14 6.67 7.09 5.76 6.64 7.80 1
4.51 2.98 5.90 4.15 4.33 5.08 -1
5.93 3.51 7.01 6.78 8.88 7.71 -1
8.94 9.74 7.95 9.07 8.28 10.00 -1
7.26 8.42 7.69 7.88 7.91 9.07 1
2.57 2.89 4.62 5.42 5.82 6.10 -1
8.41 8.51 9.06 8.90 9.85 8.90 -1
7.08 8.77 8.55 9.83 6.79 7.88 1
2.39 3.60 1.79 1.78 5.52 6.27 1
4.25 3.25 2.56 3.31 4.18 2.03 1
6.99 5.96 7.52 7.03 6.49 7.29 1
7.70 8.33 8.55 8.39 8.36 8.47 1
2.04 2.63 3.42 2.71 6.27 3.81 -1
8.05 8.86 8.89 9.07 8.51 9.32 -1
3.36 2.98 2.05 0.59 4.55 0.25 1
6.02 3.86 6.58 8.22 6.42 7.20 1
8.50 6.23 7.95 8.22 6.42 8.22 1
5.49 5.26 8.03 7.54 4.85 7.20 -1
8.58 7.11 8.63 9.15 6.34 9.24 -1
3.81 1.49 4.87 6.10 2.46 6.69 1
5.93 8.16 7.95 7.71 8.81 7.97 1
3.45 4.39 4.27 7.20 5.00 5.76 -1
2.30 4.21 6.92 3.73 8.28 8.39 1
5.22 0.35 5.73 5.17 5.00 4.66 1
4.69 2.37 5.38 5.93 4.10 5.00 1
6.11 5.35 8.03 7.80 6.64 7.46 1
1.06 0.96 3.68 3.56 3.51 3.47 1
5.22 8.42 8.46 8.47 7.99 7.20 1
8.50 8.07 9.40 10.00 5.97 7.97 1
4.51 5.44 6.07 7.12 7.91 7.88 1
4.07 5.35 8.12 6.27 8.21 8.14 1
2.65 0.70 5.38 4.41 2.31 4.66 1
6.11 2.63 7.18 7.03 7.09 5.17 -1
5.04 6.93 8.89 8.56 8.81 8.90 1
5.58 8.16 8.63 8.47 8.66 8.81 1
2.92 3.42 3.76 3.90 2.09 4.15 1
3.45 5.70 3.50 7.29 7.76 8.39 1
4.16 2.19 4.10 2.63 3.96 4.41 1
1.15 1.32 4.87 2.63 4.78 4.75 -1
5.93 4.91 7.44 8.14 5.00 7.03 1
3.27 4.21 1.88 2.29 4.18 2.37 -1
1.50 3.25 5.30 5.17 5.00 5.59 1
9.91 6.67 9.57 9.75 6.42 7.63 1
5.40 3.95 6.07 5.93 8.21 7.63 1
8.50 10.00 7.78 8.56 7.69 8.64 1
7.52 9.30 9.66 9.41 6.04 9.07 1
3.54 2.37 1.54 2.20 2.01 2.46 1
5.75 7.19 7.52 8.98 9.10 8.05 -1
8.14 5.96 8.21 7.71 9.10 8.73 1
4.60 2.11 4.62 6.27 4.55 3.98 1
6.28 6.93 7.78 7.20 7.61 6.69 1
5.13 4.74 6.75 8.14 7.61 8.47 1
8.05 8.77 7.86 8.14 6.72 8.47 1
8.32 7.81 8.38 8.14 7.61 8.90 -1
3.01 3.77 4.96 6.02 5.75 5.51 1
2.12 4.74 6.15 4.49 8.13 8.22 1
3.63 3.16 2.82 2.46 4.10 6.78 1
5.58 5.61 7.26 6.95 5.52 7.03 1
6.99 8.51 9.06 8.98 8.06 8.05 -1
6.64 7.81 7.78 7.63 9.48 8.73 1
2.65 1.32 4.44 2.80 5.75 5.08 -1
3.81 4.12 5.98 8.73 8.21 8.39 1
6.19 1.32 4.36 6.36 4.40 6.02 1
8.05 9.39 9.49 8.47 8.73 9.32 -1
3.63 2.98 7.09 7.20 6.34 5.51 -1
8.85 7.37 9.49 9.49 7.24 7.71 -1
7.52 5.35 9.06 7.63 6.49 7.37 -1
1.86 0.26 5.47 5.00 3.21 2.80 -1
7.79 7.46 9.32 8.81 7.39 9.15 1
3.27 0.96 2.14 2.71 1.49 3.39 1
3.19 4.04 4.27 5.25 5.00 7.29 1
1.33 2.11 4.36 4.07 5.37 3.39 1
3.81 1.67 6.75 6.95 2.69 4.15 1
2.48 3.33 4.70 4.49 5.15 6.86 1
7.26 8.42 8.89 8.81 6.72 8.73 1
4.16 4.82 8.80 7.54 7.09 8.05 -1
3.27 3.16 4.36 3.14 8.51 8.64 -1
3.01 1.32 4.79 3.98 1.49 5.42 -1
3.01 2.98 4.19 2.12 5.00 1.95 1
7.96 7.63 9.06 8.31 8.81 8.56 -1
2.83 4.56 7.61 6.27 8.88 8.22 1
8.41 7.37 8.89 8.64 8.51 8.47 1
1.50 1.67 4.44 2.80 6.19 6.36 -1
3.81 4.65 4.36 6.78 4.63 5.59 1
3.54 2.89 5.56 3.81 4.40 8.31 1
3.19 0.70 4.19 5.25 0.75 4.49 1
2.12 1.23 4.62 6.10 6.04 8.05 1
7.43 7.63 8.89 9.07 9.63 7.46 -1
3.01 1.58 6.32 6.53 3.28 5.25 1
2.30 2.19 0.68 0.25 4.55 2.12 -1
1.50 0.61 3.59 6.02 4.10 6.44 1
7.61 6.40 8.21 7.88 8.66 8.64 1
6.11 9.21 8.89 8.14 8.13 9.41 1
3.98 4.04 3.93 5.85 3.43 6.19 -1
1.68 0.26 4.70 2.97 2.46 2.88 1
6.73 7.81 9.32 8.90 9.40 9.07 1
3.36 5.35 3.50 7.03 7.99 8.39 1
4.16 5.26 5.21 6.36 7.16 8.47 1
3.19 1.93 4.53 4.66 1.72 5.25 -1
3.89 3.16 3.08 2.37 3.96 1.44 -1
2.30 2.63 5.81 5.17 5.82 7.71 1
1.15 1.93 4.10 3.05 4.25 0.00 1
5.84 8.86 7.86 8.73 7.76 8.64 -1
8.41 6.14 8.38 8.05 6.49 7.97 -1
1.06 0.61 5.98 5.34 1.64 5.59 -1
9.12 8.68 9.15 8.73 8.88 9.07 1
5.84 9.47 5.64 8.05 5.82 7.71 1
3.63 2.89 1.62 2.63 3.66 2.37 -1
6.55 8.42 8.80 8.31 8.51 7.71 -1
3.63 2.37 6.67 5.68 5.22 1.95 -1
4.34 6.14 8.55 8.73 8.36 8.81 1
2.04 5.09 5.21 4.24 4.70 6.02 1
1.33 0.18 3.16 3.56 3.43 4.24 1
3.27 2.81 2.31 2.03 3.88 1.86 -1
2.39 1.58 5.98 5.42 3.43 1.69 1
