-0.32 0.84 -5493.86
0.30 -2.93 -3023.58
2.57 3.31 -1832.17
-0.26 1.47 -8863.11
0.89 -2.27 873.97
-2.95 -2.69 -3591.88
-2.94 -2.25 -7194.74
-2.25 -3.04 -6965.64
-0.34 2.39 -4312.16
-3.08 0.41 -1699.88
3.58 1.87 -2515.90
1.59 -2.89 -8423.90
-2.71 -0.80 -1326.10
1.44 2.34 -8271.06
0.63 -1.51 -1530.34
-2.07 -0.86 -6687.02
0.23 1.92 -6205.40
2.51 0.47 -4754.72
-2.39 -3.23 -151.13
-1.38 -2.91 -1888.01
1.67 2.64 -7348.16
0.69 -1.89 -9185.07
0.75 -2.76 -1017.90
-0.31 -1.67 -4832.40
0.14 2.66 -4488.72
0.16 0.41 -9941.74
-0.31 -3.79 -9826.33
1.21 1.63 -1868.17
3.20 -1.11 -9429.87
-3.62 0.69 -4770.13
0.88 0.24 -6474.68
1.26 3.52 -5099.23
-2.91 -2.60 -3171.86
4.10 -1.10 -6047.42
-1.17 1.31 -586.80
1.48 -0.60 -7704.96
2.21 -3.15 31.86
-0.62 1.15 -4468.82
-0.44 -1.20 575.42
-0.58 -4.25 -9382.45
0.33 0.11 -5336.46
2.83 2.98 -7882.14
-0.89 1.10 -3618.48
2.29 -2.58 -3250.31
0.76 -0.57 -6097.04
-2.78 0.71 -5094.25
-4.09 -0.62 -3319.19
2.35 0.84 -4063.88
0.13 0.29 -8612.68
-1.12 0.12 -2028.90
2.42 1.34 -1793.95
1.92 -1.97 -7229.85
-0.56 1.70 -3835.30
1.98 0.49 -3415.35
0.74 2.66 -254.05
-0.32 3.42 -1918.78
1.70 1.18 -1595.75
-0.68 2.20 -2116.31
-0.13 1.97 -8534.97
-0.35 2.32 -8412.79
-1.86 2.30 -2056.31
0.43 -0.35 -7407.89
-2.00 -1.24 -212.19
-1.68 0.07 -5192.09
-0.96 -0.29 118.50
2.02 -0.13 -4700.58
1.71 -2.31 -7580.59
-1.02 1.90 -2054.45
1.38 0.83 -5025.66
0.02 1.11 -9412.95
-0.94 0.84 -2085.70
2.95 2.84 -3538.71
0.44 -1.35 -4294.02
1.26 -3.72 -2155.72
-2.09 0.53 -8118.38
-0.23 2.02 -8301.43
-0.60 3.44 -5601.58
1.22 -0.41 -7262.22
3.17 -1.47 663.60
1.56 0.15 -9540.64
2.19 -0.10 -2660.07
0.15 -3.13 -8754.72
-0.70 1.25 -9667.26
-0.22 1.17 -150.03
2.95 -3.40 -9805.48
0.69 -1.80 -7982.34
1.28 -2.04 438.19
2.49 -0.71 -8744.84
-3.90 1.84 -6206.46
-1.31 -0.01 458.31
-0.57 2.27 -3953.32
-0.68 -3.71 -5305.71
-0.81 0.18 -6397.60
-2.13 1.91 -1846.75
-3.31 0.39 193.75
-2.52 0.87 -9629.32
-1.48 0.56 726.23
-0.98 -1.50 -1162.68
0.01 1.37 -8252.05
-0.62 0.03 -2953.95
-0.18 1.09 894.88
-2.12 -3.00 -731.42
-0.22 1.55 -280.04
0.30 -1.04 -4143.07
-0.94 -0.33 -5914.36
0.22 1.78 -3700.44
1.72 -1.03 -7766.48
1.98 3.96 -3108.18
-2.15 1.06 -3540.42
-2.07 1.47 -1805.60
-1.46 2.30 -5830.61
-1.62 0.75 -1846.93
2.49 0.15 -2503.49
-1.31 -0.51 -1582.00
-0.10 0.30 -7183.79
-2.15 -2.14 -8432.59
1.76 -0.67 -1685.15
-1.82 -2.33 -8046.18
2.41 -2.53 -2691.39
-2.65 -1.20 -4909.34
-1.20 -4.29 -6184.38
-0.62 -3.44 -148.41
1.54 -1.92 -8007.01
-0.97 -2.24 -6531.58
-1.05 1.99 -3163.07
-1.31 -2.58 -7752.67
2.87 -1.34 -4372.15
0.81 0.22 -5691.21
-2.71 -1.23 -6107.56
-2.20 0.64 -6101.81
1.58 -1.50 -8507.76
3.07 0.19 -3520.34
2.02 1.24 -4560.10
-2.68 -1.40 -1368.82
0.10 -1.64 -8639.49
1.79 0.11 -9182.09
1.13 -3.87 -838.98
-2.79 1.14 -8926.93
