0.58 0.44 0.57 0.13 0.5 0.0 0.54 0.22 1 -1
0.48 0.45 0.59 0.2 0.5 0.0 0.58 0.34 1 1
0.42 0.37 0.59 0.2 0.5 0.0 0.52 0.29 1 -1
0.46 0.44 0.52 0.11 0.5 0.0 0.5 0.22 0 1
0.61 0.6 0.55 0.21 0.5 0.0 0.5 0.25 1 -1
0.43 0.53 0.52 0.13 0.5 0.0 0.55 0.22 0 1
0.57 0.47 0.6 0.18 0.5 0.0 0.51 0.22 0 -1
0.51 0.51 0.43 0.87 0.5 0.0 0.52 0.22 2 1
0.74 0.67 0.47 0.34 0.5 0.0 0.42 0.22 6 -1
0.57 0.53 0.53 0.34 0.5 0.0 0.53 0.22 2 1
0.41 0.54 0.39 0.2 0.5 0.0 0.51 0.22 3 -1
0.49 0.39 0.52 0.29 0.5 0.0 0.48 0.22 6 1
0.41 0.53 0.45 0.14 0.5 0.0 0.52 0.66 3 -1
0.64 0.56 0.56 0.22 0.5 0.0 0.45 0.22 0 1
0.45 0.58 0.48 0.67 0.5 0.0 0.52 0.22 2 -1
0.41 0.46 0.59 0.19 0.5 0.0 0.58 0.27 1 1
0.48 0.54 0.55 0.12 0.5 0.0 0.51 0.22 0 -1
0.58 0.51 0.49 0.27 0.5 0.0 0.57 0.29 0 1
0.49 0.42 0.56 0.55 0.5 0.0 0.42 0.25 2 -1
0.43 0.57 0.51 0.49 0.5 0.0 0.48 0.22 2 1
0.54 0.52 0.63 0.37 0.5 0.0 0.46 0.22 2 -1
0.8 0.63 0.45 0.29 0.5 0.0 0.51 0.22 6 1
0.46 0.38 0.47 0.22 0.5 0.0 0.52 0.27 2 -1
0.38 0.5 0.37 0.26 0.5 0.0 0.43 0.22 3 1
0.64 0.57 0.57 0.27 0.5 0.0 0.37 0.22 0 -1
0.48 0.23 0.57 0.27 0.5 0.0 0.48 0.47 1 1
0.3 0.56 0.55 0.18 0.5 0.0 0.5 0.22 0 -1
0.44 0.52 0.41 0.23 0.5 0.0 0.51 0.22 1 1
0.45 0.45 0.5 0.6 0.5 0.0 0.49 0.22 2 -1
0.47 0.41 0.66 0.26 0.5 0.0 0.53 0.22 2 1
0.59 0.6 0.49 0.43 0.5 0.0 0.53 0.31 2 -1
0.46 0.71 0.48 0.53 0.5 0.0 0.53 0.22 2 1
0.4 0.62 0.52 0.31 0.5 0.0 0.49 0.31 0 -1
0.34 0.54 0.5 0.21 0.5 0.0 0.54 0.31 0 1
0.47 0.32 0.64 0.3 0.5 0.0 0.63 0.22 1 -1
0.37 0.46 0.4 0.27 0.5 0.0 0.45 0.22 1 1
0.39 0.55 0.48 0.31 0.5 0.0 0.54 0.29 0 -1
0.44 0.39 0.53 0.14 0.5 0.0 0.54 0.44 0 1
0.42 0.31 0.5 0.15 0.5 0.0 0.53 0.22 1 -1
0.71 0.59 0.48 0.43 0.5 0.0 0.59 0.22 2 1
0.42 0.51 0.5 0.12 0.5 0.0 0.52 0.46 1 -1
0.26 0.5 0.33 0.28 0.5 0.0 0.51 0.22 3 1
0.48 0.61 0.44 0.2 0.5 0.0 0.47 0.22 0 -1
0.44 0.38 0.48 0.32 0.5 0.83 0.53 0.22 8 1
0.39 0.4 0.53 0.67 0.5 0.0 0.47 0.22 0 -1
0.43 0.57 0.53 0.53 0.5 0.0 0.53 0.25 0 1
0.32 0.42 0.52 0.24 0.5 0.0 0.6 0.22 0 -1
0.61 0.72 0.31 0.33 0.5 0.0 0.56 0.22 2 1
0.52 0.56 0.54 0.53 0.5 0.0 0.45 0.22 2 -1
0.46 0.43 0.38 0.33 0.5 0.0 0.48 0.28 2 1
