53 0 1 36
0 14
1 11
2 10
3 13
4 5
5 13
8 15
10 11
11 2
14 6
15 3
16 13
17 14
21 7
23 17
24 16
26 11
27 10
28 3
30 6
31 13
33 15
34 12
36 6
37 3
39 11
40 11
41 16
42 17
130 12
131 7
132 16
133 7
134 4
135 12
136 10
54 1 0 8
20 1
87 1
105 1
114 1
138 1
144 2
146 2
147 3
55 0 0 30
43 4
44 4
46 4
47 7
50 5
53 7
54 4
56 4
57 8
59 6
63 4
65 5
66 4
67 7
69 4
70 7
72 2
76 6
78 3
79 6
81 10
82 11
83 4
85 9
137 2
139 4
140 2
141 3
142 7
143 8
56 0 2 25
60 3
62 3
88 3
89 3
95 3
96 6
99 6
104 7
106 5
107 5
108 4
109 5
115 3
118 3
119 4
120 5
121 3
122 1
124 4
125 6
127 6
128 3
145 3
148 3
149 5
57 1 0 4
68 2
73 1
98 1
111 2
58 0 0 3
49 2
52 2
80 3
59 1 0 0
60 1 0 11
13 1
18 1
55 1
75 1
86 1
91 2
92 1
93 1
102 1
112 2
117 1
61 1 0 2
94 1
101 1
