2901 0 0 37
0 16
1 11
2 10
3 13
4 5
5 13
7 15
8 11
9 2
10 2
11 6
12 3
13 13
14 14
17 7
18 17
19 16
20 11
21 10
22 4
24 6
25 13
26 15
27 12
28 6
29 3
30 11
31 11
32 16
33 17
99 12
100 7
101 17
102 7
103 4
104 13
105 10
2902 1 0 1
16 1
2903 0 0 31
34 4
35 4
36 4
37 7
39 5
41 7
42 4
44 4
45 8
46 6
49 4
50 5
51 4
52 7
53 2
54 4
55 7
56 2
59 6
60 3
61 6
63 10
64 11
65 4
66 9
106 2
108 4
109 2
110 3
111 7
112 8
2904 0 0 16
68 3
74 3
75 6
77 6
80 7
83 5
91 3
93 5
94 3
95 4
96 6
97 6
98 3
114 3
117 3
118 5
2905 0 0 7
47 3
48 3
82 5
84 4
85 5
89 3
92 4
2906 1 0 5
57 1
69 3
86 2
88 1
116 3
